,User,Date,Tweet,Tweets Ago,Positive,Negative,Neutral,Compound
0,BBC,Wed Jan 10 19:30:07 +0000 2018,You can count on @BBCComedy's Tracey Ullman for a satirical take on current affairs… https://t.co/Tobb25eWjx,1,0.0,1.0,0.0,0.0
1,BBC,Wed Jan 10 19:20:39 +0000 2018,"RT @BBCNews: How polluted is your street? 😷

Find out: https://t.co/MW9r2UMufj https://t.co/68AJfgg8rA",2,0.0,0.769,0.231,-0.4588
2,BBC,Wed Jan 10 19:20:03 +0000 2018,RT @bbcthree: This is what happens when you breathe in polluted air. https://t.co/XZlWu2bQjD,3,0.0,0.8,0.2,-0.4588
3,BBC,Wed Jan 10 19:00:03 +0000 2018,"😂 @OfficialTLC's Scrubs is great song for the ladies... 

Not so great for the unemployed male.  

#LiveAtTheApollo https://t.co/7UAURqwqIx",4,0.353,0.647,0.0,0.8481
4,BBC,Wed Jan 10 18:32:03 +0000 2018,How much of your home's electricity bill goes on making cups of tea or  washing your clothes? Take this quiz to fin… https://t.co/pj3i1cRZaL,5,0.0,1.0,0.0,0.0
5,BBC,Wed Jan 10 18:03:03 +0000 2018,"Tonight, @CherryHealey teams up with independent scientists to put everyday cosmetics to the test. 💄🔬 

The Truth A… https://t.co/eVsmvaYTgZ",6,0.113,0.887,0.0,0.3182
6,BBC,Wed Jan 10 17:30:07 +0000 2018,"To save Teresa’s life, doctors are going to have to remove part of her face.

(Warning: This video contains graphic… https://t.co/oXdQv5ABqa",7,0.138,0.862,0.0,0.4939
7,BBC,Wed Jan 10 17:02:03 +0000 2018,Why does adolescence last twice as long now as it did in the 1950s? 🤔 https://t.co/q3gMvr3mqU https://t.co/X5F9a925ET,8,0.0,1.0,0.0,0.0
8,BBC,Wed Jan 10 16:22:04 +0000 2018,Snow has fallen in the Sahara desert. ❄️ https://t.co/804PRapagA https://t.co/RXHi6AdCHb,9,0.0,0.783,0.217,-0.3612
9,BBC,Wed Jan 10 15:30:06 +0000 2018,Researchers have published a study revealing that dogs can be trained to smell cancer. 🐶 https://t.co/9mP5kjg6CZ https://t.co/yb7luqCMSp,10,0.0,0.761,0.239,-0.6597
10,BBC,Wed Jan 10 15:06:03 +0000 2018,These @BBCWthrWatchers photos capture what the weather has looked like across the UK lately. 🌧❄️🌥🌈… https://t.co/RXyER0dCkD,11,0.143,0.857,0.0,0.3612
11,BBC,Wed Jan 10 14:33:02 +0000 2018,The 5p charge for plastic bags in large shops in England could be extended to cover nearly all retailers. 🛍… https://t.co/nAgVcPMW7h,12,0.0,1.0,0.0,0.0
12,BBC,Wed Jan 10 14:03:04 +0000 2018,Nothing depicts the mindset of a time period quite like a living room.🚪Here's how the room has evolved over time. 👉… https://t.co/YS1jycfIZG,13,0.128,0.872,0.0,0.4201
13,BBC,Wed Jan 10 13:37:04 +0000 2018,"The International Space Station is humanity’s most expensive structure, but it could vanish in six years. 🚀🌒… https://t.co/cE7BhlzxQP",14,0.0,1.0,0.0,0.0
14,BBC,Wed Jan 10 13:02:01 +0000 2018,Think you're a bigger football fan than this guy? ❤️️️⚽️ https://t.co/nwkebUvYmb,15,0.204,0.796,0.0,0.3182
15,BBC,Wed Jan 10 12:53:52 +0000 2018,"RT @bbcthesocial: | @ShadyLawrence will blow your mind with this transformation! 

#TransformationTuesday https://t.co/eEFtUlYBTD",16,0.0,1.0,0.0,0.0
16,BBC,Wed Jan 10 12:29:40 +0000 2018,"RT @BBCOne: 🐾 Black-footed cats are Africa’s smallest cat, and the deadliest of the entire cat family. Anything that moves is a potential m…",17,0.0,1.0,0.0,0.0
17,BBC,Wed Jan 10 12:29:17 +0000 2018,"RT @TWBBC: Four of the biggest global health stories to follow in 2018:

1. The world's first malaria vaccine
2. Yemen on the brink of fami…",18,0.0,1.0,0.0,0.0
18,BBC,Wed Jan 10 12:25:16 +0000 2018,"🐋❤️️ Could this be the first case on record of a humpback protecting a human?

Via @BBCNews https://t.co/78l0AKNbxB",19,0.0,1.0,0.0,0.0
19,BBC,Wed Jan 10 11:57:36 +0000 2018,"RT @BBCRadio2: 📻 ANNOUNCEMENT 📻
We have a brand new schedule coming to Radio 2 this spring, featuring @jowhiley @simonmayo @sarajcox @djgar…",20,0.0,1.0,0.0,0.0
20,BBC,Wed Jan 10 19:30:07 +0000 2018,You can count on @BBCComedy's Tracey Ullman for a satirical take on current affairs… https://t.co/Tobb25eWjx,21,0.0,1.0,0.0,0.0
21,BBC,Wed Jan 10 19:20:39 +0000 2018,"RT @BBCNews: How polluted is your street? 😷

Find out: https://t.co/MW9r2UMufj https://t.co/68AJfgg8rA",22,0.0,0.769,0.231,-0.4588
22,BBC,Wed Jan 10 19:20:03 +0000 2018,RT @bbcthree: This is what happens when you breathe in polluted air. https://t.co/XZlWu2bQjD,23,0.0,0.8,0.2,-0.4588
23,BBC,Wed Jan 10 19:00:03 +0000 2018,"😂 @OfficialTLC's Scrubs is great song for the ladies... 

Not so great for the unemployed male.  

#LiveAtTheApollo https://t.co/7UAURqwqIx",24,0.353,0.647,0.0,0.8481
24,BBC,Wed Jan 10 18:32:03 +0000 2018,How much of your home's electricity bill goes on making cups of tea or  washing your clothes? Take this quiz to fin… https://t.co/pj3i1cRZaL,25,0.0,1.0,0.0,0.0
25,BBC,Wed Jan 10 18:03:03 +0000 2018,"Tonight, @CherryHealey teams up with independent scientists to put everyday cosmetics to the test. 💄🔬 

The Truth A… https://t.co/eVsmvaYTgZ",26,0.113,0.887,0.0,0.3182
26,BBC,Wed Jan 10 17:30:07 +0000 2018,"To save Teresa’s life, doctors are going to have to remove part of her face.

(Warning: This video contains graphic… https://t.co/oXdQv5ABqa",27,0.138,0.862,0.0,0.4939
27,BBC,Wed Jan 10 17:02:03 +0000 2018,Why does adolescence last twice as long now as it did in the 1950s? 🤔 https://t.co/q3gMvr3mqU https://t.co/X5F9a925ET,28,0.0,1.0,0.0,0.0
28,BBC,Wed Jan 10 16:22:04 +0000 2018,Snow has fallen in the Sahara desert. ❄️ https://t.co/804PRapagA https://t.co/RXHi6AdCHb,29,0.0,0.783,0.217,-0.3612
29,BBC,Wed Jan 10 15:30:06 +0000 2018,Researchers have published a study revealing that dogs can be trained to smell cancer. 🐶 https://t.co/9mP5kjg6CZ https://t.co/yb7luqCMSp,30,0.0,0.761,0.239,-0.6597
30,BBC,Wed Jan 10 15:06:03 +0000 2018,These @BBCWthrWatchers photos capture what the weather has looked like across the UK lately. 🌧❄️🌥🌈… https://t.co/RXyER0dCkD,31,0.143,0.857,0.0,0.3612
31,BBC,Wed Jan 10 14:33:02 +0000 2018,The 5p charge for plastic bags in large shops in England could be extended to cover nearly all retailers. 🛍… https://t.co/nAgVcPMW7h,32,0.0,1.0,0.0,0.0
32,BBC,Wed Jan 10 14:03:04 +0000 2018,Nothing depicts the mindset of a time period quite like a living room.🚪Here's how the room has evolved over time. 👉… https://t.co/YS1jycfIZG,33,0.128,0.872,0.0,0.4201
33,BBC,Wed Jan 10 13:37:04 +0000 2018,"The International Space Station is humanity’s most expensive structure, but it could vanish in six years. 🚀🌒… https://t.co/cE7BhlzxQP",34,0.0,1.0,0.0,0.0
34,BBC,Wed Jan 10 13:02:01 +0000 2018,Think you're a bigger football fan than this guy? ❤️️️⚽️ https://t.co/nwkebUvYmb,35,0.204,0.796,0.0,0.3182
35,BBC,Wed Jan 10 12:53:52 +0000 2018,"RT @bbcthesocial: | @ShadyLawrence will blow your mind with this transformation! 

#TransformationTuesday https://t.co/eEFtUlYBTD",36,0.0,1.0,0.0,0.0
36,BBC,Wed Jan 10 12:29:40 +0000 2018,"RT @BBCOne: 🐾 Black-footed cats are Africa’s smallest cat, and the deadliest of the entire cat family. Anything that moves is a potential m…",37,0.0,1.0,0.0,0.0
37,BBC,Wed Jan 10 12:29:17 +0000 2018,"RT @TWBBC: Four of the biggest global health stories to follow in 2018:

1. The world's first malaria vaccine
2. Yemen on the brink of fami…",38,0.0,1.0,0.0,0.0
38,BBC,Wed Jan 10 12:25:16 +0000 2018,"🐋❤️️ Could this be the first case on record of a humpback protecting a human?

Via @BBCNews https://t.co/78l0AKNbxB",39,0.0,1.0,0.0,0.0
39,BBC,Wed Jan 10 11:57:36 +0000 2018,"RT @BBCRadio2: 📻 ANNOUNCEMENT 📻
We have a brand new schedule coming to Radio 2 this spring, featuring @jowhiley @simonmayo @sarajcox @djgar…",40,0.0,1.0,0.0,0.0
40,BBC,Wed Jan 10 11:54:10 +0000 2018,"🚀✨ David Bowie changed music forever. 

Throughout his career, he reinvented not just his sound but his persona ove… https://t.co/Io65zVu3xV",41,0.0,1.0,0.0,0.0
41,BBC,Wed Jan 10 11:43:03 +0000 2018,"Next time you're tempted to write 'clean me' on the back of a dirty van, why not think bigger? 🚚 🎨… https://t.co/Wb8EextaUh",42,0.114,0.763,0.123,-0.0516
42,BBC,Wed Jan 10 11:19:38 +0000 2018,"The teen tipped to be the next Lewis Hamilton, who lost both his lower legs in a horrific racing accident last year… https://t.co/Ps7Tnocel2",43,0.0,0.6,0.4,-0.9001
43,BBC,Wed Jan 10 10:17:36 +0000 2018,"RT @BBCNewsAsia: Japanese astronaut, who 'grew 9cm in space', says he made a 'measuring mistake': https://t.co/sV3I8aOFz6 https://t.co/aOel…",44,0.0,1.0,0.0,0.0
44,BBC,Wed Jan 10 10:01:59 +0000 2018,"RT @BBCOne: OK, we're officially excited! David Oyelowo, @LilyCollins and @DominicWest will star in an epic six-part drama adaptation of #L…",45,0.228,0.772,0.0,0.6833
45,BBC,Wed Jan 10 09:42:05 +0000 2018,RT @bbcworldservice: From royal palace to sanctuary for the LGBTQ community: meet India's first openly gay prince who is opening his doors…,46,0.0,1.0,0.0,0.0
46,BBC,Wed Jan 10 09:32:19 +0000 2018,"RT @bbcmusic: “I don't know where I'm going from here, but I promise it won't be boring” - David Bowie speaking in 1997

2 years today sinc…",47,0.114,0.886,0.0,0.4497
47,BBC,Wed Jan 10 09:02:03 +0000 2018,A tale of survival and deep love: the Tattooist of Auschwitz who met his wife in a concentration camp.… https://t.co/r53TwrPRGh,48,0.198,0.802,0.0,0.6369
48,BBC,Wed Jan 10 08:52:21 +0000 2018,"RT @bbcgetinspired: It's as easy as going down your local park. 

@AdeleRoberts's health hacks are SO simple anyone can do them! 👍 #GetInsp…",49,0.132,0.868,0.0,0.4926
